names,lat,lon,geometry
Rohan Jharoka ,12.9482601,77.6765682,POINT (77.67656819999999 12.9482601)
UKN Esperanza ,12.9525107,77.7206956,POINT (77.7206956 12.9525107)
Melange Smart Neighbourhoods ,12.8578542,77.7978698,POINT (77.7978698 12.8578542)
Sona Vistaas ,12.8811223,77.6195792,POINT (77.61957919999999 12.8811223)
Wisteria at Brigade Meadows ,12.8150853,77.5067053,POINT (77.50670529999999 12.8150853)
Mangilal Heerraji Sites and Villas ,12.773142,77.484082,POINT (77.484082 12.773142)
NCN Crystal ,12.9750622,77.7588202,POINT (77.7588202 12.9750622)
Aratt Grand Town ,12.7401871,77.6791026,POINT (77.67910259999999 12.7401871)
ASN Galaxy ,13.0292141,77.661057,POINT (77.661057 13.0292141)
Golden Leaf Luxury Apartment ,12.915528,77.6254919,POINT (77.6254919 12.915528)
Pavilion Villas at Brigade Orchards ,13.237063,77.72428,POINT (77.72427999999999 13.237063)
Koncept Lake View ,13.0629474,77.6230776,POINT (77.6230776 13.0629474)
Fortius Waterscape ,13.019696,77.721148,POINT (77.721148 13.019696)
Mantri Glades ,12.9113224,77.6847566,POINT (77.6847566 12.9113224)
RMZ Latitude ,13.0563101,77.5951032,POINT (77.5951032 13.0563101)
NM Sai Sunshine ,12.9479238,77.7126668,POINT (77.71266679999999 12.9479238)
Divya JSR Limelite ,13.0694591,77.530547,POINT (77.530547 13.0694591)
GM Infinite Elegance Tower ,12.9165545,77.6184368,POINT (77.6184368 12.9165545)
Zonasha Elegance ,12.8988592,77.6682758,POINT (77.6682758 12.8988592)
Krishna Brighton ,13.1035207,77.5796734,POINT (77.57967339999999 13.1035207)
B&B Opulent Spire ,12.9216975,77.5997916,POINT (77.5997916 12.9216975)
Krishna Arya Elegant ,13.0165757,77.5475265,POINT (77.5475265 13.0165757)
Unishire Belvedere Premia ,13.0726436,77.6183587,POINT (77.6183587 13.0726436)
Subhodaya Luxuria ,12.9372251,77.7045745,POINT (77.70457449999999 12.9372251)
SJR Residency ,12.9276275,77.6891907,POINT (77.6891907 12.9276275)
Kumar Kino Platinum ,12.985738,77.5748938,POINT (77.5748938 12.985738)
Aristo Marvel ,12.8384012,77.6470954,POINT (77.6470954 12.8384012)
Desai Grandeur ,12.976704,77.7584705,POINT (77.7584705 12.976704)
Hiranandani Upscale Bannerghatta ,12.876606,77.610831,POINT (77.610831 12.876606)
Sobha City Casa Serenita ,13.0769388,77.6394475,POINT (77.6394475 13.0769388)
SK Daisy ,12.832197,77.648919,POINT (77.64891899999999 12.832197)
ATZ Ultima ,13.0571116,77.6282134,POINT (77.62821339999999 13.0571116)
DSMax Star Nest ,12.9238214,77.4766588,POINT (77.4766588 12.9238214)
Global Villas ,12.8592252,77.646217,POINT (77.64621699999999 12.8592252)
Klassik Benchmark ,12.8716449,77.5962133,POINT (77.5962133 12.8716449)
Vaswani Claremont ,12.9485069,77.7173176,POINT (77.7173176 12.9485069)
Vivansaa Baalsam ,12.9124021,77.6387393,POINT (77.6387393 12.9124021)
Kumari Amaranthine ,12.9176952,77.6973403,POINT (77.69734029999999 12.9176952)
Estella Maple Square  ,12.8929578,77.6742451,POINT (77.67424509999999 12.8929578)
Saiven The Hamptons ,12.9105043,77.6516836,POINT (77.6516836 12.9105043)
Ajmera Green Acres ,12.8679098,77.5935277,POINT (77.5935277 12.8679098)
Reliaable Lifestyle ,12.8951713,77.668645,POINT (77.668645 12.8951713)
SNN Raj Lakeview ,12.9039732,77.6083714,POINT (77.6083714 12.9039732)
Cansa Dhiya ,12.9307557,77.7112407,POINT (77.71124069999999 12.9307557)
BSR Towers ,13.0281274,77.6896923,POINT (77.68969229999999 13.0281274)
Adhishree SunShine ,13.0851417,77.6070356,POINT (77.6070356 13.0851417)
MIMS Northbrook ,13.0767278,77.659311,POINT (77.659311 13.0767278)
MBR Gem Park Villa ,12.8699879,77.8103632,POINT (77.8103632 12.8699879)
Sai Siri Heritage ,12.9080207,77.488539,POINT (77.488539 12.9080207)
Jains Aashraya ,12.8436657,77.5877827,POINT (77.58778269999999 12.8436657)
DLF Woodland Heights ,12.7828926,77.6581565,POINT (77.65815649999999 12.7828926)
Maa Nivasam ,12.9989205,77.7228561,POINT (77.7228561 12.9989205)
Soma White House ,12.8753207,77.6355191,POINT (77.6355191 12.8753207)
Sunland Serene Hills ,12.796947,77.531457,POINT (77.531457 12.796947)
CMRS Palm Hills ,13.3526756,77.7221923,POINT (77.7221923 13.3526756)
